KODI I PRODUKTIT,NAME,PRICE,MARKA,MODELI,GARANCIA,Category,Child category 1,Child category 2
B0HDDJV530231TBBI,"Hard Disk I Jashtem Verbatim 53023 2.5"" 1TB",7490,VERBATIM,53023,0,KOMPJUTERA,STORAGE,HDD / SSD
B0HDDJV530711TBBI,"Hard Disk I Jashtem Verbatim 53071 2.5"" 1TB",7490,VERBATIM,,24,KOMPJUTERA,STORAGE,HDD / SSD
B0HDDJV531772TBB,Hard Disk I Jashtem Verbatim 53177 2.5 2TB I,9290,VERBATIM,53177,0,KOMPJUTERA,STORAGE,HDD / SSD
B0HDDJV532001TBBI,"Hard Disk I Jashtem Verbatim 53200 2.5"" 1TB",7490,VERBATIM,53200,0,KOMPJUTERA,STORAGE,HDD / SSD
B0HDDJWDED4TBAM,Hard Disk I Jashtem Western Digital Elements Desktop 4TB USB 3.0 AM,17990,WESTERN DIGITAL,DESKTOP 4TB USB 3.0,0,KOMPJUTERA,STORAGE,HDD / SSD
B0HDDJWDMB6TBAM,Hard Disk I Jashtem Western Digital My Book 6TB AM,21490,WESTERN DIGITAL,MY BOOK 6TB,0,KOMPJUTERA,STORAGE,HDD / SSD
B0HDDJWDMB8TBAM,Hard Disk I Jashtem Western Digital My Book 8TB AM,29990,WESTERN DIGITAL,MY BOOK 8TB,0,KOMPJUTERA,STORAGE,HDD / SSD
B0HDDJWDMCH4TBAM,Hard Disk I Jashtem Western Digital My Cloud Home 4TB AM,25990,WESTERN DIGITAL,MY CLOUD HOME 4TB,0,KOMPJUTERA,STORAGE,HDD / SSD
B0HDDJWDMCH6TBAM,Hard Disk I Jashtem Western Digital My Cloud Home 6TB AM,29990,WESTERN DIGITAL,MY CLOUD HOME 6TB,0,KOMPJUTERA,STORAGE,HDD / SSD
B0HDDJWDP10GD2TBAM,Hard Disk I Jashtem Western Digital P10 Game Drive 2TB AM,18990,WESTERN DIGITAL,P10 GAME DRIVE 2TB,0,KOMPJUTERA,STORAGE,HDD / SSD
B0HDDJWDP10GD4TBAM,Hard Disk I Jashtem Western Digital P10 Game Drive 4TB AM,26990,WESTERN DIGITAL,P10 GAME DRIVE 4TB,0,KOMPJUTERA,STORAGE,HDD / SSD
B0KAMEMSVE16GB44020,Karte Memorje Verbatim MicroSD 16GB 44020,1490,VERBATIM,MICROSD 16GB 44020,0,KOMPJUTERA,STORAGE,KARTE MEMORIE
B0KAMESDVE16GB43962,Karte Memorje SD Verbatim 16GB 43962,1490,VERBATIM,16GB 43962,0,KOMPJUTERA,STORAGE,KARTE MEMORIE
B0KVGAVCCG341A18M,KABLLO VGA VCOM CG341A 1.8 M,390,VCOM,CG341A 1.8 M,0,KOMPJUTERA,AKSESORE RRJETI,KABLLO RRJETI
B0KVGAVCCG341A3M,KABLLO VGA VCOM CG341A 3 M,390,VCOM,CG341A 3 M,0,KOMPJUTERA,AKSESORE RRJETI,KABLLO RRJETI
B0KVGAVCCG341D18M,KABLLO VGA VCOM CG341D 1.8 M,390,VCOM,CG341D 1.8 M,0,KOMPJUTERA,AKSESORE RRJETI,KABLLO RRJETI
B0KVGAVCCG341D3M,KABLLO VGA VCOM CG341D 3 M,490,VCOM,CG341D 3 M,0,KOMPJUTERA,AKSESORE RRJETI,KABLLO RRJETI
B0KVGAVCCG341G3M,KABLLO VGA VCOM CG341G 3 M,490,VCOM,CG341G,0,KOMPJUTERA,AKSESORE RRJETI,KABLLO RRJETI
B0KVGAVCCG381DG3M,KABLLO VGA VCOM CG381DG 3 M,690,VCOM,CG381DG,0,KOMPJUTERA,AKSESORE RRJETI,KABLLO RRJETI
B0MAAPMMMTSMMMQ3ZMAB,Mouse Apple Magic Mouse Multi-Touch Surface mmmq3zm/a Black,14990,APPLE,MMMQ3ZM/A,0,KOMPJUTERA,AKSESORE KOMPJUTERI,
B0MADEMS116570AAIRI,Mouse Dell Wired MS116 Black 570-AAIR,1490,DELL,570-AAIR,12,KOMPJUTERA,AKSESORE KOMPJUTERI,
B0MAGEWLE8200SBI,Mouse Wireless Genius Ergo 8200S Black,1490,GENIUS,31030029400,0,KOMPJUTERA,AKSESORE KOMPJUTERI,
